GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054075;Langenhorn;1237;209;67;470;137;30;62;121;65;50;26
01054076;Leck;2603;116;183;1384;273;119;179;228;57;47;17
01054077;Lexgaard;26;-;3;19;4;-;-;-;-;-;-
01054078;List;727;9;260;293;59;4;18;24;12;13;35
01054079;Löwenstedt;205;46;28;61;15;-;7;26;13;9;-
01054080;Lütjenholm;123;27;16;31;10;-;20;13;3;3;-
01054083;Midlum;161;39;7;52;27;3;6;12;12;3;-
01054084;Mildstedt;1342;105;30;460;163;75;119;196;94;70;30
01054085;Nebel;494;97;19;219;76;6;31;22;3;9;12
01054086;Neukirchen;467;77;51;193;44;10;35;48;0;3;6
01054087;Nieblum;522;86;9;224;71;18;9;56;9;30;10
01054088;Niebüll;3122;194;313;1204;292;136;169;296;254;192;72
01054089;Norddorf auf Amrum;240;15;33;109;34;15;3;12;10;9;-
01054090;Norderfriedrichskoog;16;7;3;-;-;3;-;3;-;-;-
01054091;Nordstrand;1154;173;204;389;130;38;70;58;50;33;9
01054092;Norstedt;151;42;14;36;21;3;11;9;3;6;6
01054093;Ockholm;159;45;16;73;4;3;3;8;3;-;4
01054094;Oevenum;190;66;6;45;27;14;3;26;3;-;-
01054095;Oldenswort;531;153;49;176;34;6;40;39;25;0;9
01054096;Oldersbek;259;65;9;48;19;12;28;45;18;9;6
01054097;Olderup;150;22;14;33;22;-;13;19;18;9;-
01054098;Oldsum;262;83;32;61;19;6;25;26;7;-;3
01054099;Ostenfeld (Husum);576;104;44;163;55;10;47;74;55;18;6
01054100;Osterhever;126;28;40;30;6;-;-;13;6;3;-
01054101;Oster-Ohrstedt;240;28;17;90;35;6;3;34;24;3;-
01054103;Pellworm;612;159;97;190;64;12;33;28;19;10;-
01054104;Poppenbüll;114;44;7;29;10;-;6;6;3;9;-
01054105;Ramstedt;183;48;14;37;24;6;6;26;16;3;3
01054106;Rantrum;619;112;52;146;67;21;50;73;43;42;13
01054107;Rantum (Sylt);-;-;-;-;-;-;-;-;-;-;-
01054108;Reußenköge;133;26;72;31;4;-;-;-;-;-;-
01054109;Risum-Lindholm;1363;211;110;496;165;41;68;143;45;49;35
01054110;Rodenäs;175;56;17;64;10;3;3;19;-;3;-
01054113;Sankt Peter-Ording;2209;92;100;1055;255;72;174;221;106;104;30
01054116;Schwabstedt;516;133;28;164;41;4;39;68;27;9;3
01054118;Schwesing;334;58;12;126;26;6;42;33;12;4;15
01054119;Seeth;225;61;20;61;30;6;12;12;6;14;3
01054120;Simonsberg;368;53;47;129;48;6;22;37;11;6;9
01054121;Sönnebüll;97;16;9;23;12;3;11;11;9;3;-
01054123;Sollwitt;108;39;9;24;0;10;3;16;7;-;-
01054124;Sprakebüll;83;18;14;30;6;3;-;3;9;-;-
01054125;Stadum;367;46;33;133;39;3;23;48;6;22;14
01054126;Stedesand;313;72;27;110;42;6;13;34;3;3;3
01054128;Struckum;386;78;7;137;33;3;20;67;19;19;3
01054129;Süderende;89;26;6;20;3;-;19;3;9;-;3
01054130;Süderhöft;9;3;3;-;3;-;-;-;-;-;-
01054131;Süderlügum;936;87;62;375;99;32;79;88;47;43;24
01054132;Südermarsch;49;9;3;10;14;-;3;6;-;4;-
01054133;Sylt-Ost;-;-;-;-;-;-;-;-;-;-;-
01054134;Tating;513;144;36;178;50;17;21;36;13;8;10
01054135;Tetenbüll;334;148;31;97;26;6;17;3;3;-;3
01054136;Tinningstedt;79;18;7;31;3;6;10;4;-;-;-
01054138;Tönning;1950;458;180;792;96;58;55;216;52;40;3
01054140;Tümlauer Koog;42;-;21;18;-;-;-;3;-;-;-
01054141;Uelvesbüll;132;45;14;34;18;3;4;11;3;-;-
01054142;Uphusum;160;24;16;71;27;-;9;6;3;4;-
01054143;Utersum;193;21;6;72;24;15;18;12;10;3;12
01054144;Viöl;666;99;25;149;62;27;63;139;40;46;16
01054145;Vollerwiek;115;34;6;38;4;3;10;10;10;-;-
01054146;Vollstedt;69;17;10;22;-;-;7;9;4;-;-
01054148;Welt;116;31;15;19;19;9;13;7;3;-;-
01054149;Wenningstedt-Braderup (Sylt);1271;41;35;625;236;59;75;48;54;75;23
01054150;Westerhever;95;46;-;34;3;3;9;-;-;-;-
01054151;Westerland;-;-;-;-;-;-;-;-;-;-;-
01054152;Wester-Ohrstedt;368;69;34;125;20;6;29;36;18;18;13
01054154;Westre;146;25;28;50;19;-;6;6;-;9;3
01054156;Winnert;277;63;25;103;10;9;15;37;6;9;-
01054157;Wisch;44;7;11;9;-;-;-;17;-;-;-
01054158;Witsum;30;3;3;21;-;-;-;-;3;-;-
01054159;Wittbek;302;53;27;84;34;6;18;33;25;22;-
01054160;Wittdün auf Amrum;278;12;15;126;60;21;4;11;17;9;3
01054161;Witzwort;434;124;27;111;55;10;18;38;19;28;4
01054162;Wobbenbüll;173;16;-;85;19;4;10;20;13;6;-
01054163;Wrixum;265;30;9;102;37;14;21;30;9;10;3
01054164;Wyk auf Föhr;1813;222;161;843;242;81;78;83;54;24;25
01054165;Galmsbüll;230;95;17;73;13;7;3;-;13;6;3
01054166;Emmelsbüll-Horsbüll;424;128;46;166;29;16;12;15;6;3;3
01054167;Enge-Sande;425;76;32;148;33;16;25;53;17;19;6
01054168;Sylt;5227;373;402;2644;745;198;207;256;137;195;70
01055001;Ahrensbök;2678;456;244;910;294;54;171;281;167;58;43
01055002;Altenkrempe;364;105;31;97;38;12;37;15;4;7;18
01055004;Bad Schwartau;4954;484;389;2557;637;180;161;284;93;109;60
01055006;Beschendorf;188;38;21;77;10;-;12;15;15;-;-
01055007;Bosau;1291;237;101;473;102;53;86;131;66;36;6
01055010;Dahme;827;66;66;409;105;46;52;40;15;13;15
01055011;Damlos;245;46;20;91;26;6;16;34;6;0;-
01055012;Eutin;4507;577;416;2089;399;176;159;283;205;124;79
01055014;Göhl;435;60;65;159;37;3;24;56;28;3;-
01055015;Gremersdorf;555;154;85;198;21;6;10;45;23;13;-
01055016;Grömitz;2910;231;165;1466;339;173;143;151;82;96;64
01055017;Großenbrode;1074;100;139;483;102;38;51;87;38;27;9
01055018;Grube;393;78;65;149;28;22;15;24;12;-;-
01055020;Harmsdorf;258;53;28;109;20;6;6;23;3;10;-
01055021;Heiligenhafen;2762;238;261;1343;303;57;176;216;63;76;29
01055022;Heringsdorf (Holstein);545;69;71;221;53;18;17;43;29;18;6
01055023;Kabelhorst;161;23;25;66;12;-;3;23;6;3;-
01055024;Kasseedorf;509;91;61;183;54;0;19;62;25;14;-
01055025;Kellenhusen (Ostsee);534;16;42;248;88;34;25;47;9;16;9
01055027;Lensahn;1534;129;164;692;126;19;32;214;97;40;21
01055028;Malente;3069;415;337;1346;276;91;194;194;105;90;21
01055029;Manhagen;142;39;15;61;12;3;-;3;3;6;-
01055031;Neukirchen;567;91;66;248;87;6;15;35;7;9;3
01055032;Neustadt in Holstein;3948;328;496;1722;419;144;224;284;170;123;38
01055033;Oldenburg in Holstein;2959;252;320;1414;338;130;163;205;79;46;12
01055035;Ratekau;4747;317;237;2084;708;202;199;459;332;159;50
01055036;Riepsdorf;400;104;37;144;31;7;22;39;9;3;4
01055037;Schashagen;883;103;68;422;83;18;27;69;27;56;10
01055038;Schönwalde am Bungsberg;793;128;57;324;69;18;43;68;49;28;9
01055039;Sierksdorf;594;85;37;292;49;13;16;10;46;27;19
01055040;Stockelsdorf;5086;372;207;1905;1018;378;378;216;237;262;113
01055041;Süsel;1816;299;138;563;178;33;77;290;123;74;41
01055042;Timmendorfer Strand;3110;191;184;1479;268;121;193;253;104;160;157
01055043;Wangels;867;179;69;374;59;26;30;66;37;13;14
01055044;Scharbeutz;3954;282;245;1732;509;151;187;409;234;157;48
01055046;Fehmarn;5000;972;416;1851;438;207;268;473;195;140;40
01056001;Appen;1433;92;67;567;196;35;116;158;121;53;28
01056002;Barmstedt;2761;525;165;1004;273;86;196;172;153;152;35
01056003;Bevern;187;64;22;35;6;7;10;21;9;13;-
01056004;Bilsen;237;36;24;88;24;16;20;13;13;3;-
01056005;Bönningstedt;1315;89;58;547;108;36;69;188;77;98;45
01056006;Bokel;209;51;38;36;10;3;18;44;6;3;-
01056008;Bokholt-Hanredder;437;66;20;171;76;6;34;39;10;11;4
01056009;Borstel-Hohenraden;704;72;32;249;85;16;28;51;95;47;29
01056010;Brande-Hörnerkirchen;500;90;33;110;55;7;51;124;20;10;-
01056011;Bullenkuhlen;101;19;10;35;6;6;-;3;13;3;6
01056013;Ellerbek;1436;49;50;853;150;58;61;115;36;52;12
01056014;Ellerhoop;465;79;19;140;55;27;48;32;14;31;20
01056015;Elmshorn;10850;1201;1289;4089;1110;353;881;702;566;445;214
01056016;Groß Nordende;204;21;6;57;16;3;22;54;9;10;6
01056017;Groß Offenseth-Aspern;104;28;12;9;3;3;18;3;19;9;-
01056018;Halstenbek;4662;150;266;2307;528;343;306;257;247;197;61
01056019;Haselau;371;103;21;116;48;6;25;20;19;13;-
01056020;Haseldorf;577;139;34;199;46;6;33;63;43;14;-
01056021;Hasloh;1037;62;55;472;138;42;90;102;25;27;24
01056022;Heede;234;68;6;75;18;9;10;22;16;10;-
01056023;Heidgraben;832;71;41;311;102;36;44;74;56;53;44
01056024;Heist;980;65;29;464;84;15;84;124;56;44;15
01056025;Helgoland;706;40;-;617;19;6;6;15;3;-;-
01056026;Hemdingen;484;86;49;174;45;15;19;37;30;19;10
01056027;Hetlingen;476;80;24;187;53;14;21;60;9;25;3
01056028;Holm;992;84;36;403;150;34;98;93;56;31;7
01056029;Klein Nordende;1062;59;61;443;128;76;83;117;48;33;14
01056030;Klein Offenseth-Sparrieshoop;914;92;48;337;75;21;38;126;78;46;53
01056031;Kölln-Reisiek;942;73;34;334;131;45;96;80;30;89;30
01056032;Kummerfeld;713;53;17;260;105;28;63;72;66;49;-
01056033;Seester;321;88;18;113;21;6;23;25;18;6;3
01056034;Langeln;179;40;10;53;22;7;6;14;15;12;-
01056035;Lutzhorn;244;56;18;77;29;4;20;15;10;15;-
01056036;Moorrege;1430;170;63;644;101;82;85;138;69;64;14
01056037;Neuendeich;175;62;0;25;24;3;10;32;12;7;-
01056038;Osterhorn;124;27;9;39;6;3;9;21;7;3;-
01056039;Pinneberg;9095;545;1078;3915;806;407;429;501;681;610;123
01056040;Prisdorf;740;30;63;296;63;52;100;42;44;22;28
01056041;Quickborn;5682;198;339;2834;766;216;350;432;271;205;71
01056042;Raa-Besenbek;205;54;24;73;6;3;7;7;-;16;15
01056043;Rellingen;4159;212;233;2163;474;250;166;270;195;142;54
01056044;Schenefeld, Stadt;4285;89;277;2237;477;195;241;376;142;172;79
01056045;Seestermühe;371;116;7;108;30;13;23;39;24;7;4
01056046;Seeth-Ekholt;267;34;22;93;22;14;9;50;10;3;10
01056047;Tangstedt;690;77;40;241;64;44;36;43;61;78;6
01056048;Tornesch;3658;236;239;1358;426;381;441;265;169;104;39
01056049;Uetersen;4521;590;498;1733;767;228;262;240;75;99;29
01056050;Wedel;6839;262;534;3772;713;358;308;455;157;198;82
01056051;Westerhorn;439;83;19;146;47;6;24;56;30;22;6
01057001;Ascheberg (Holstein);1002;93;199;324;78;29;59;173;34;10;3
01057002;Barmissen;51;10;6;25;4;3;3;-;-;-;-
01057003;Barsbek;195;58;10;60;15;6;7;29;7;3;-
01057004;Behrensdorf (Ostsee);337;76;17;131;31;16;13;10;21;19;3
01057005;Belau;153;22;22;61;10;14;3;10;-;7;4
01057006;Bendfeld;89;24;13;22;4;-;-;16;10;-;-
01057007;Blekendorf;669;125;65;269;37;12;33;72;22;30;4
01057008;Bönebüttel;703;59;42;244;92;43;96;76;25;16;10
01057009;Bösdorf;479;69;53;191;26;27;46;45;16;6;-
01057010;Boksee;141;27;7;59;15;-;9;12;3;6;3
01057011;Bothkamp;90;42;3;18;9;6;6;6;-;-;-
01057012;Brodersdorf;139;25;9;38;6;9;22;21;9;-;-
01057013;Dannau;225;34;24;56;16;-;20;43;26;6;-
01057015;Dersau;301;61;26;120;26;16;15;21;13;0;3
01057016;Dobersdorf;402;31;25;164;74;7;26;63;12;-;-
01057017;Dörnick;98;12;3;47;18;6;3;3;3;3;-
01057018;Fahren;42;19;-;19;-;-;4;-;-;-;-
01057020;Fiefbergen;189;27;14;43;23;10;37;29;6;-;-
01057021;Giekau;410;53;28;185;38;6;12;47;32;3;6
01057022;Grebin;343;89;32;119;55;6;7;20;3;6;6
01057023;Großbarkau;60;3;6;27;6;3;3;6;-;6;-
01057024;Großharrie;180;41;7;60;6;3;14;31;18;-;-
01057025;Heikendorf;2547;154;175;1272;336;63;148;204;73;96;26
01057026;Helmstorf;113;26;3;45;17;-;6;9;4;3;-
01057027;Högsdorf;161;37;11;68;9;4;3;25;4;-;-
01057028;Höhndorf;139;42;6;47;6;-;9;6;4;19;-
01057029;Hohenfelde;662;44;17;307;112;18;47;79;16;22;-
01057030;Hohwacht (Ostsee);487;18;26;284;19;21;31;51;16;18;3
01057031;Honigsee;126;12;31;57;3;3;6;10;4;-;-
01057032;Kalübbe;198;58;3;46;17;10;22;21;12;9;-
01057033;Kirchbarkau;267;32;12;160;12;-;3;22;16;10;-
01057034;Kirchnüchel;76;39;7;24;-;-;3;-;3;-;-
01057035;Klamp;245;32;37;83;24;6;21;22;10;3;7
01057037;Klein Barkau;104;14;10;35;7;6;3;29;-;-;-
01057038;Kletkamp;65;38;6;10;-;-;-;11;-;-;-
01057039;Köhn;313;25;14;98;79;6;11;35;24;15;6
01057040;Krokau;136;24;3;38;9;3;7;34;15;3;-
01057041;Krummbek;134;19;16;52;3;4;6;3;14;14;3
01057042;Kühren;207;47;3;86;18;10;17;19;7;-;-
01057043;Laboe;1491;121;124;622;153;52;95;165;116;33;10
01057044;Lammershagen;119;44;16;43;-;-;3;3;-;10;-
01057045;Lebrade;208;68;21;69;12;-;9;26;-;-;3
01057046;Lehmkuhlen;470;96;24;201;39;15;21;46;6;22;-
01057047;Löptin;105;21;15;24;6;3;15;15;3;3;-
01057048;Lütjenburg;1460;151;129;737;154;48;87;112;30;12;-
01057049;Lutterbek;145;27;6;56;12;6;3;32;3;-;-
01057050;Martensrade;309;65;12;84;23;-;39;28;42;16;-
01057051;Mönkeberg;1162;13;68;627;127;63;39;28;133;57;7
01057052;Mucheln;216;26;27;92;17;6;6;21;21;-;-
01057053;Nehmten;156;30;4;61;23;3;11;12;6;3;3
01057054;Nettelsee;140;22;19;50;10;-;-;26;-;10;3
01057055;Panker;555;121;61;139;47;12;49;63;39;12;12
01057056;Passade;119;22;0;38;3;-;13;7;17;6;13
01057057;Plön;2295;272;289;1161;185;57;65;79;71;73;43
01057058;Pohnsdorf;133;18;22;67;3;3;-;9;8;3;-
01057059;Postfeld;160;32;0;65;7;14;6;16;17;3;-
01057060;Prasdorf;132;31;3;37;13;6;30;9;-;3;-
01057062;Preetz;4405;359;497;2260;312;137;110;294;247;133;56
01057063;Probsteierhagen;656;47;69;264;70;10;23;60;63;46;4
01057065;Rantzau;132;29;19;41;3;14;6;11;9;-;-
01057066;Rastorf;296;43;33;118;41;4;19;24;7;4;3
01057067;Rathjensdorf;166;32;9;72;10;7;13;9;3;7;4
01057068;Rendswühren;278;39;34;112;14;6;24;18;9;19;3
01057069;Ruhwinkel;310;54;62;116;15;16;12;22;7;6;-
01057070;Schellhorn;540;62;43;271;50;3;19;18;55;12;7
01057071;Schillsdorf;310;53;59;97;19;4;18;41;15;4;-
01057072;Schlesen;166;30;10;72;3;4;4;30;10;3;-
01057073;Schönberg (Holstein);1941;122;244;636;330;76;127;202;92;82;30
01057074;Schönkirchen;1892;123;149;801;245;93;151;155;99;51;25
01057076;Schwartbuck;285;33;14;110;37;10;23;42;12;4;-
01057077;Selent;430;31;35;204;46;9;10;42;23;27;3
01057078;Stakendorf;177;41;15;73;11;-;7;14;13;3;-
01057079;Stein;316;40;6;96;54;12;19;67;19;-;3
01057080;Stolpe;439;79;50;131;44;22;27;43;31;12;-
01057081;Stoltenberg;112;19;4;43;9;4;11;12;7;3;-
01057082;Tröndel;144;34;16;38;6;3;13;12;9;10;3
01057083;Tasdorf;129;9;12;45;46;3;4;7;-;3;-
01057084;Wahlstorf;195;51;7;78;10;-;16;30;3;-;-
01057085;Wankendorf;889;83;87;395;54;24;48;111;77;10;-
01057086;Warnau;126;15;21;62;10;3;3;6;3;-;3
01057087;Wendtorf;349;25;17;138;79;6;3;62;16;3;-
01057088;Wisch;387;25;12;177;53;7;36;43;18;13;3
01057089;Wittmoldt;80;15;7;43;4;7;-;-;4;-;-
01057090;Fargau-Pratjau;272;73;6;79;25;6;42;28;6;4;3
01057091;Schwentinental;4014;120;171;2082;540;130;255;395;125;165;31
01058001;Achterwehr;333;29;19;137;37;33;23;42;6;7;-
01058003;Alt Duvenstedt;635;61;49;209;88;10;59;100;26;20;13
01058004;Altenhof;115;30;9;40;9;3;9;6;9;-;-
01058005;Altenholz;2845;53;55;1670;406;69;164;167;32;196;33
01058007;Arpsdorf;101;16;10;39;10;3;6;3;7;-;7
01058008;Ascheffel;332;52;19;102;40;9;21;61;16;12;-
01058009;Aukrug;1235;168;72;458;185;33;124;136;39;14;6
01058010;Bargstall;53;9;-;18;4;-;4;14;4;-;-
01058011;Bargstedt;267;85;22;46;30;10;29;28;13;4;-
01058012;Barkelsby;542;68;25;229;114;10;29;63;-;4;-
01058013;Beldorf;116;45;19;26;4;3;-;3;6;7;3
01058014;Bendorf;177;50;39;44;7;3;9;13;9;-;3
01058015;Beringstedt;288;95;33;84;12;7;20;30;7;-;-
01058016;Bissee;52;22;3;18;-;-;3;6;-;-;-
01058018;Blumenthal;241;38;9;119;15;20;19;10;-;11;-
01058019;Böhnhusen;98;14;4;50;4;6;7;13;-;-;-
01058021;Bokel;239;38;22;82;48;4;9;23;9;4;-
01058022;Bordesholm;2357;177;457;833;260;61;170;218;111;58;12
01058023;Borgdorf-Seedorf;137;26;4;47;4;10;22;18;6;-;-
01058024;Borgstedt;489;46;33;178;64;21;27;48;61;11;-
01058025;Bornholt;77;37;10;13;4;6;-;4;-;3;-
01058026;Bovenau;384;68;21;125;43;13;22;63;26;3;-
01058027;Brammer;151;33;3;56;13;6;10;12;15;-;3
01058028;Bredenbek;495;50;40;174;15;9;13;75;54;46;19
01058029;Breiholz;488;135;35;132;55;9;36;53;18;9;6
01058030;Brekendorf;430;71;51;77;68;24;53;43;25;15;3
01058031;Brinjahe;60;19;6;19;-;3;-;3;7;3;-
01058032;Brodersby;440;65;34;104;39;26;64;66;13;23;6
01058033;Brügge;369;42;17;149;39;-;20;56;31;15;-
01058034;Büdelsdorf;2836;211;248;1459;294;123;155;131;118;64;33
01058035;Bünsdorf;325;47;23;133;79;0;16;12;12;0;3
01058036;Christiansholm;94;22;17;23;11;3;3;4;4;4;3
01058037;Dänischenhagen;1343;111;34;500;114;66;113;216;29;135;25
01058038;Dätgen;189;41;17;46;16;3;9;22;28;7;-
01058039;Damendorf;146;43;25;28;3;3;6;31;3;-;4
01058040;Damp;723;36;24;358;177;28;19;42;20;16;3
01058042;Dörphof;256;69;28;74;15;20;18;22;7;3;-
01058043;Eckernförde;5603;498;1067;2198;560;250;221;518;151;119;21
01058044;Ehndorf;202;6;27;58;19;4;20;39;26;3;-
01058045;Eisendorf;139;18;15;27;22;15;12;21;6;3;-
01058046;Ellerdorf;192;28;10;60;18;6;21;39;6;-;4
01058047;Elsdorf-Westermühlen;580;73;31;204;53;14;72;82;15;26;10
01058048;Embühren;87;29;9;9;7;-;26;4;3;-;-
01058049;Emkendorf;550;65;72;240;58;4;39;57;9;6;-
01058050;Felde;796;84;65;339;62;41;60;46;54;27;18
01058051;Felm;383;32;19;197;13;9;52;36;13;9;3
01058052;Fleckeby;731;75;37;286;67;40;33;75;90;28;0
01058053;Flintbek;2208;136;287;959;256;104;43;312;40;22;49
01058054;Fockbek;2189;124;140;931;253;127;201;200;118;72;23
01058055;Friedrichsgraben;25;6;-;10;3;3;-;3;-;-;-
01058056;Friedrichsholm;131;32;16;40;15;3;12;10;-;-;3
01058057;Gammelby;192;19;6;95;26;-;-;30;10;3;3
01058058;Gettorf;2267;108;124;1048;216;43;105;253;181;138;51
01058059;Gnutz;460;86;50;123;53;23;27;63;26;3;6
01058061;Gokels;235;37;25;96;18;3;33;10;10;3;-
01058062;Grauel;96;25;12;29;4;4;-;10;6;6;-
01058063;Grevenkrug;57;13;9;22;13;-;-;-;-;-;-
01058064;Groß Buchwald;124;27;25;33;6;9;9;6;6;3;-
01058065;Groß Vollstedt;328;37;20;122;18;15;41;52;23;-;-
01058066;Groß Wittensee;414;48;35;159;50;9;23;13;24;41;12
01058067;Güby;165;50;15;38;9;16;16;21;-;-;-
01058068;Haale;188;73;23;39;9;12;13;6;3;6;4
01058069;Haby;191;30;6;67;28;4;17;25;11;3;-
01058070;Hamdorf;482;95;38;159;41;9;36;57;19;25;3
01058071;Hamweddel;164;26;23;66;9;-;3;19;9;9;-
01058072;Hanerau-Hademarschen;1105;219;149;458;71;30;40;89;27;13;9
01058073;Haßmoor;98;23;19;21;7;7;-;15;3;-;3
01058074;Heinkenborstel;53;20;15;9;-;-;3;-;3;3;-
01058075;Hörsten;20;-;3;14;3;-;-;-;-;-;-
01058076;Hoffeld;44;6;3;9;3;7;-;7;3;6;-
01058077;Hohenwestedt;1617;245;110;651;196;54;143;109;51;44;14
01058078;Hohn;842;121;53;236;101;35;56;118;79;37;6
01058080;Holtsee;467;42;44;192;35;27;23;61;19;24;-
01058081;Holzbunge;127;35;9;41;6;7;12;6;7;4;-
01058082;Holzdorf;362;139;45;80;27;12;6;33;10;10;-
01058083;Hütten;65;29;6;12;3;3;-;-;9;3;-
01058084;Hummelfeld;104;47;11;18;3;4;-;3;7;8;3
01058085;Jahrsdorf;100;33;6;36;6;3;-;7;9;-;-
01058086;Jevenstedt;1063;150;69;389;128;44;58;139;47;28;11
01058087;Karby;226;46;22;84;32;6;10;23;3;-;-
01058088;Klein Wittensee;66;18;6;15;-;3;4;10;3;7;-
01058089;Königshügel;66;13;3;19;3;6;-;16;3;-;3
01058090;Kosel;679;74;73;267;91;21;42;77;25;6;3
01058091;Krogaspe;155;33;19;50;7;3;-;22;18;3;-
01058092;Kronshagen;3080;106;347;1878;346;132;57;64;19;87;44
01058093;Krummwisch;226;44;27;64;30;13;23;18;7;-;-
01058094;Langwedel;681;77;28;283;76;18;47;66;31;52;3
01058096;Lindau;437;31;83;176;35;23;18;37;15;15;4
01058097;Lohe-Föhrden;175;28;15;53;34;3;15;12;9;3;3
01058098;Loop;80;32;12;18;12;-;3;-;-;3;-
01058099;Loose;279;53;23;87;32;19;26;33;-;3;3
01058100;Lütjenwestedt;220;80;36;55;9;6;3;19;12;-;-
01058101;Luhnstedt;156;51;20;34;7;3;6;29;6;-;-
01058102;Goosefeld;267;24;13;107;35;9;19;22;20;9;9
01058103;Meezen;169;24;6;55;22;9;20;20;13;-;-
01058104;Melsdorf;519;34;18;267;52;10;50;53;19;16;-
01058105;Mielkendorf;464;30;19;184;37;44;48;36;50;10;6
01058106;Mörel;96;34;10;15;-;6;9;12;7;3;-
01058107;Molfsee;1678;61;124;806;456;67;77;47;27;9;4
01058108;Mühbrook;187;27;9;80;15;15;3;18;14;3;3
01058109;Negenharrie;110;34;12;32;7;-;12;6;4;3;-
01058110;Neudorf-Bornstein;361;45;23;150;22;15;42;29;22;9;4
01058111;Neu Duvenstedt;44;28;3;6;-;-;-;7;-;-;-
01058112;Neuwittenbek;411;31;20;222;55;6;9;49;-;9;10
01058113;Nienborstel;225;68;19;57;18;12;6;23;10;12;-
01058115;Nindorf;238;56;28;64;18;6;16;21;16;6;7
01058116;Noer;340;15;10;175;44;15;13;37;19;6;6
01058117;Nortorf;2007;250;129;840;312;38;116;158;84;55;25
01058118;Nübbel;550;57;6;221;76;35;64;63;13;12;3
01058119;Oldenbüttel;94;33;26;16;7;6;3;-;-;3;-
01058120;Oldenhütten;64;10;6;10;-;-;3;29;3;3;-
01058121;Osdorf;748;38;64;307;92;30;48;88;36;30;15
01058122;Ostenfeld (Rendsburg);175;33;17;71;3;-;10;24;10;7;-
01058123;Osterby;331;38;30;111;46;13;20;35;16;9;13
01058124;Osterrönfeld;1727;74;81;543;217;68;118;315;214;78;19
01058125;Osterstedt;237;77;15;72;20;6;20;17;7;3;-
01058126;Ottendorf;272;19;-;132;40;11;13;26;13;3;15
01058127;Owschlag;1299;109;122;418;165;39;100;165;84;78;19
01058128;Padenstedt;510;30;27;156;22;3;10;119;83;50;10
01058129;Prinzenmoor;62;20;12;13;3;-;4;3;4;3;-
01058130;Quarnbek;634;54;29;323;71;20;33;52;15;25;12
01058131;Rade b. Hohenwestedt;30;15;3;-;-;3;3;6;-;-;-
01058132;Rade b. Rendsburg;73;32;3;9;10;6;-;3;4;3;3
01058133;Reesdorf;41;9;6;13;3;-;4;6;-;-;-
01058134;Remmels;154;28;9;75;3;4;-;6;15;6;8
01058135;Rendsburg;6311;661;1002;3347;417;215;241;220;55;80;73
01058136;Rickert;360;35;16;150;44;10;20;52;15;15;3
01058137;Rieseby;851;115;58;287;70;19;93;143;34;32;-
01058138;Rodenbek;166;17;22;77;17;-;0;11;9;6;7
01058139;Rumohr;255;27;32;119;9;20;6;26;-;16;-
01058140;Schacht-Audorf;1501;115;114;674;185;40;70;93;117;49;44
01058141;Schierensee;151;36;9;55;21;7;13;7;-;3;-
01058142;Schinkel;345;54;12;151;24;4;30;31;19;17;3
01058143;Schmalstede;106;23;3;38;3;3;6;12;3;12;3
01058144;Schönbek;75;28;3;20;12;-;3;9;-;-;-
01058145;Schönhorst;99;9;16;43;12;3;-;3;10;-;3
01058146;Schülldorf;232;43;6;93;22;6;9;23;-;15;15
01058147;Schülp b. Nortorf;281;30;25;121;9;0;13;61;12;3;7
01058148;Schülp b. Rendsburg;380;24;16;166;18;21;20;59;26;16;14
01058150;Schwedeneck;1063;53;115;510;103;38;51;135;34;15;9
01058151;Seefeld;144;34;21;31;12;7;6;17;12;4;-
01058152;Sehestedt;320;59;22;104;20;12;23;54;23;-;3
01058153;Sören;59;13;3;23;4;-;-;9;4;-;3
01058154;Sophienhamm;131;20;21;46;8;3;9;12;3;6;3
01058155;Stafstedt;142;48;12;49;7;-;13;10;3;-;-
01058156;Steenfeld;132;57;13;25;7;4;16;6;-;4;-
01058157;Strande;522;27;36;309;46;15;50;9;3;18;9
01058158;Tackesdorf;32;12;11;3;-;3;-;-;-;3;-
01058159;Tappendorf;119;27;20;36;12;3;-;3;9;9;-
01058160;Techelsdorf;65;23;-;33;6;-;3;-;-;-;-
