GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054159;Wittbek;355;-;6;50;85;77;75;62
01054160;Wittdün auf Amrum;695;72;136;202;148;78;39;20
01054161;Witzwort;492;-;6;37;111;115;86;137
01054162;Wobbenbüll;216;3;-;21;47;56;48;41
01054163;Wrixum;368;6;34;61;116;71;32;48
01054164;Wyk auf Föhr;3162;115;449;789;828;401;263;313
01054165;Galmsbüll;293;6;9;24;83;42;56;73
01054166;Emmelsbüll-Horsbüll;526;4;32;75;90;114;81;130
01054167;Enge-Sande;501;3;17;48;98;123;87;125
01054168;Sylt;10269;595;1977;2515;2406;1457;746;573
01055001;Ahrensbök;3781;65;259;605;779;779;652;642
01055002;Altenkrempe;470;-;17;58;98;140;76;81
01055004;Bad Schwartau;10059;248;1150;2329;2618;1754;1051;909
01055006;Beschendorf;242;-;9;30;40;56;51;56
01055007;Bosau;1633;13;74;241;328;322;249;406
01055010;Dahme;1388;85;270;400;301;130;115;87
01055011;Damlos;297;-;6;26;78;69;57;61
01055012;Eutin;8766;179;808;2208;2147;1385;1011;1028
01055014;Göhl;512;-;12;60;116;115;85;124
01055015;Gremersdorf;704;3;39;77;167;169;77;172
01055016;Grömitz;6148;373;1159;1775;1239;715;373;514
01055017;Großenbrode;1796;126;236;446;351;260;228;149
01055018;Grube;498;6;12;62;81;115;59;163
01055020;Harmsdorf;309;-;6;48;71;84;48;52
01055021;Heiligenhafen;5694;303;897;1263;1346;839;536;510
01055022;Heringsdorf (Holstein);723;43;96;106;184;87;107;100
01055023;Kabelhorst;212;-;3;33;46;60;28;42
01055024;Kasseedorf;662;6;38;82;117;167;127;125
01055025;Kellenhusen (Ostsee);1088;22;228;278;214;231;52;60
01055027;Lensahn;2319;59;214;375;473;429;394;375
01055028;Malente;5416;92;554;1109;1290;876;733;762
01055029;Manhagen;175;3;6;21;31;42;30;42
01055031;Neukirchen;689;-;24;124;200;99;111;131
01055032;Neustadt in Holstein;8116;190;837;2026;1894;1613;854;702
01055033;Oldenburg in Holstein;4932;85;457;1034;1227;922;674;533
01055035;Ratekau;6904;47;426;1159;1703;1570;1015;984
01055036;Riepsdorf;476;-;12;63;119;96;87;99
01055037;Schashagen;1190;13;63;287;212;285;182;148
01055038;Schönwalde am Bungsberg;1134;15;56;198;251;190;218;206
01055039;Sierksdorf;1535;234;261;369;256;190;107;118
01055040;Stockelsdorf;7656;105;589;1193;1719;1837;1151;1062
01055041;Süsel;2353;17;140;301;443;644;371;437
01055042;Timmendorfer Strand;7587;451;1533;2030;1821;849;436;463
01055043;Wangels;1111;13;61;125;310;233;147;222
01055044;Scharbeutz;6905;329;1098;1542;1364;1061;662;849
01055046;Fehmarn;7550;261;830;1496;1829;1390;777;967
01056001;Appen;2063;25;97;282;431;542;419;267
01056002;Barmstedt;4581;68;322;1038;1095;940;585;533
01056003;Bevern;271;-;9;33;86;50;38;55
01056004;Bilsen;317;3;9;20;89;74;69;53
01056005;Bönningstedt;1878;34;88;309;518;437;255;237
01056006;Bokel;269;-;15;31;48;76;49;50
01056008;Bokholt-Hanredder;503;-;16;30;120;123;94;120
01056009;Borstel-Hohenraden;988;14;56;95;245;239;185;154
01056010;Brande-Hörnerkirchen;678;-;23;85;142;147;145;136
01056011;Bullenkuhlen;138;-;6;12;28;28;27;37
01056013;Ellerbek;1899;18;121;222;449;482;302;305
01056014;Ellerhoop;616;7;18;75;132;166;109;109
01056015;Elmshorn;24153;872;2462;5018;6617;4975;2401;1808
01056016;Groß Nordende;297;-;3;45;86;80;37;46
01056017;Groß Offenseth-Aspern;164;6;15;21;39;37;24;22
01056018;Halstenbek;7777;282;602;1369;1729;1856;1126;813
01056019;Haselau;481;3;37;64;111;95;80;91
01056020;Haseldorf;735;3;24;95;149;162;151;151
01056021;Hasloh;1506;4;73;252;359;380;212;226
01056022;Heede;299;-;6;40;64;70;47;72
01056023;Heidgraben;1025;3;30;86;202;322;204;178
01056024;Heist;1190;10;37;124;264;364;209;182
01056025;Helgoland;1211;69;234;327;292;166;67;56
01056026;Hemdingen;666;-;37;73;170;170;113;103
01056027;Hetlingen;599;3;27;55;110;211;103;90
01056028;Holm;1330;15;57;162;265;361;274;196
01056029;Klein Nordende;1288;6;29;115;271;413;249;205
01056030;Klein Offenseth-Sparrieshoop;1156;3;42;130;221;252;289;219
01056031;Kölln-Reisiek;1243;12;57;135;272;417;195;155
01056032;Kummerfeld;869;9;32;88;168;282;189;101
01056033;Seester;393;6;6;38;77;94;80;92
01056034;Langeln;232;3;16;21;24;55;42;71
01056035;Lutzhorn;315;-;9;39;53;75;81;58
01056036;Moorrege;1803;9;58;213;402;469;349;303
01056037;Neuendeich;218;-;12;26;44;37;51;48
01056038;Osterhorn;189;15;18;19;41;36;39;21
01056039;Pinneberg;20352;715;2628;4856;5142;3590;2082;1336
01056040;Prisdorf;909;21;40;92;130;235;179;212
01056041;Quickborn;9399;176;795;1576;2363;2138;1312;1036
01056042;Raa-Besenbek;235;-;12;19;54;35;41;74
01056043;Rellingen;6475;162;380;1085;1648;1512;844;844
01056044;Schenefeld, Stadt;9061;122;1111;1943;2830;1705;780;570
01056045;Seestermühe;438;9;21;59;93;87;86;83
01056046;Seeth-Ekholt;355;3;31;45;61;58;82;75
01056047;Tangstedt;941;10;66;124;204;235;156;146
01056048;Tornesch;5586;48;297;1106;1243;1220;894;778
01056049;Uetersen;8645;151;992;2054;2101;1760;898;686
01056050;Wedel;16788;798;1795;4578;4282;2685;1455;1195
01056051;Westerhorn;561;3;17;60;134;112;110;125
01057001;Ascheberg (Holstein);1297;6;58;156;276;309;280;212
01057002;Barmissen;71;-;7;13;13;10;16;12
01057003;Barsbek;254;-;9;19;50;71;42;63
01057004;Behrensdorf (Ostsee);422;6;25;80;119;79;49;64
01057005;Belau;183;3;3;13;16;43;34;71
01057006;Bendfeld;104;-;3;9;28;23;3;38
01057007;Blekendorf;848;0;53;110;146;255;142;142
01057008;Bönebüttel;829;-;21;104;115;244;179;166
01057009;Bösdorf;608;-;26;80;97;163;113;129
01057010;Boksee;197;3;6;21;53;43;30;41
01057011;Bothkamp;122;-;-;13;40;29;9;31
01057012;Brodersdorf;182;-;9;25;37;52;26;33
01057013;Dannau;271;3;9;23;45;65;44;82
01057015;Dersau;395;-;7;80;92;85;57;74
01057016;Dobersdorf;485;7;9;52;137;103;82;95
01057017;Dörnick;136;3;13;12;30;17;27;34
01057018;Fahren;78;4;3;20;15;12;15;9
01057020;Fiefbergen;261;3;9;19;75;54;58;43
01057021;Giekau;495;-;33;45;105;139;71;102
01057022;Grebin;437;3;22;50;89;96;90;87
01057023;Großbarkau;102;-;3;27;30;18;9;15
01057024;Großharrie;223;-;-;37;73;31;34;48
01057025;Heikendorf;4027;30;314;702;853;746;607;775
01057026;Helmstorf;159;4;6;29;31;45;22;22
01057027;Högsdorf;183;-;14;15;39;47;25;43
01057028;Höhndorf;179;-;3;29;47;30;32;38
01057029;Hohenfelde;749;15;70;197;217;101;101;48
01057030;Hohwacht (Ostsee);689;7;62;152;153;169;73;73
01057031;Honigsee;207;-;22;42;51;47;12;33
01057032;Kalübbe;242;-;10;12;32;72;37;79
01057033;Kirchbarkau;320;-;13;41;48;72;69;77
01057034;Kirchnüchel;89;-;3;10;13;24;16;23
01057035;Klamp;358;4;35;45;102;74;61;37
01057037;Klein Barkau;133;7;3;16;20;31;43;13
01057038;Kletkamp;81;-;3;0;31;20;13;14
01057039;Köhn;383;6;6;76;69;85;71;70
01057040;Krokau;206;3;6;31;53;51;26;36
01057041;Krummbek;194;4;20;35;30;65;15;25
01057042;Kühren;295;-;6;43;63;57;53;73
01057043;Laboe;2841;57;325;664;634;525;346;290
01057044;Lammershagen;148;3;18;23;24;16;30;34
01057045;Lebrade;262;-;13;61;50;64;45;29
01057046;Lehmkuhlen;600;-;28;78;113;142;144;95
01057047;Löptin;147;-;-;15;38;39;24;31
01057048;Lütjenburg;2761;35;275;667;605;606;276;297
01057049;Lutterbek;166;-;3;24;33;38;29;39
01057050;Martensrade;403;-;21;61;76;66;79;100
01057051;Mönkeberg;1804;15;115;290;453;404;246;281
01057052;Mucheln;285;7;13;35;52;63;57;58
01057053;Nehmten;196;4;17;33;48;29;29;36
01057054;Nettelsee;193;-;3;21;49;55;33;32
01057055;Panker;688;3;27;79;155;228;94;102
01057056;Passade;132;-;3;16;16;36;23;38
01057057;Plön;4826;73;441;1188;1251;847;518;508
01057058;Pohnsdorf;188;-;3;26;40;30;47;42
01057059;Postfeld;191;-;3;3;22;49;42;72
01057060;Prasdorf;177;-;3;22;62;31;31;28
01057062;Preetz;7751;144;475;1759;2005;1587;940;841
01057063;Probsteierhagen;961;16;25;156;181;247;170;166
01057065;Rantzau;173;3;6;20;55;30;34;25
01057066;Rastorf;386;6;25;58;60;74;102;61
01057067;Rathjensdorf;220;9;3;24;54;47;40;43
01057068;Rendswühren;317;-;3;15;65;71;73;90
01057069;Ruhwinkel;389;-;9;50;107;80;69;74
01057070;Schellhorn;698;6;36;86;121;130;135;184
01057071;Schillsdorf;374;6;6;18;71;96;58;119
01057072;Schlesen;216;-;3;39;53;36;39;46
01057073;Schönberg (Holstein);3716;85;626;770;789;705;400;341
01057074;Schönkirchen;3023;21;142;522;873;662;444;359
01057076;Schwartbuck;355;-;16;30;63;99;70;77
01057077;Selent;596;9;29;81;121;145;115;96
01057078;Stakendorf;220;-;10;33;28;41;43;65
01057079;Stein;470;-;67;83;90;88;61;81
01057080;Stolpe;560;-;25;66;117;184;75;93
01057081;Stoltenberg;139;-;13;6;29;31;41;19
01057082;Tröndel;181;-;7;24;19;44;30;57
01057083;Tasdorf;161;-;3;22;22;39;28;47
01057084;Wahlstorf;236;-;10;28;50;48;46;54
01057085;Wankendorf;1318;21;85;269;288;261;194;200
01057086;Warnau;151;-;6;9;19;55;40;22
01057087;Wendtorf;594;65;92;67;97;95;83;95
01057088;Wisch;441;3;39;75;123;88;57;56
01057089;Wittmoldt;92;-;-;10;13;14;18;37
01057090;Fargau-Pratjau;323;-;10;44;72;83;35;79
01057091;Schwentinental;6438;101;477;1029;1389;1482;1157;803
01058001;Achterwehr;392;-;6;28;73;59;127;99
01058003;Alt Duvenstedt;796;-;17;85;159;176;181;178
01058004;Altenhof;161;-;-;30;43;42;24;22
01058005;Altenholz;4682;86;427;778;911;929;766;785
01058007;Arpsdorf;116;-;3;11;32;28;27;15
01058008;Ascheffel;404;-;6;42;104;96;66;90
01058009;Aukrug;1606;26;75;188;284;396;283;354
01058010;Bargstall;57;-;-;7;3;12;13;22
01058011;Bargstedt;317;-;6;44;48;90;45;84
01058012;Barkelsby;656;3;39;87;149;139;131;108
01058013;Beldorf;135;-;-;16;25;33;26;35
01058014;Bendorf;212;3;9;37;54;34;20;55
01058015;Beringstedt;337;-;9;33;41;79;72;103
01058016;Bissee;73;-;-;11;17;21;9;15
01058018;Blumenthal;308;-;27;43;52;71;42;73
01058019;Böhnhusen;141;4;11;24;37;24;23;18
01058021;Bokel;280;-;3;11;59;63;56;88
01058022;Bordesholm;3601;13;272;638;867;718;533;560
01058023;Borgdorf-Seedorf;171;-;7;18;46;37;30;33
01058024;Borgstedt;594;3;16;62;105;146;136;126
01058025;Bornholt;93;-;10;13;15;19;13;23
01058026;Bovenau;467;3;21;52;94;117;78;102
01058027;Brammer;175;-;6;6;41;31;46;45
01058028;Bredenbek;613;3;23;62;82;138;105;200
01058029;Breiholz;617;8;12;80;139;131;124;123
01058030;Brekendorf;536;4;19;127;101;104;98;83
01058031;Brinjahe;63;-;3;9;18;3;9;21
01058032;Brodersby;543;12;73;115;116;112;51;64
01058033;Brügge;447;10;20;48;57;115;89;108
01058034;Büdelsdorf;5167;30;353;1132;1380;919;711;642
01058035;Bünsdorf;380;3;42;77;90;64;51;53
01058036;Christiansholm;112;-;-;10;28;18;24;32
01058037;Dänischenhagen;1632;23;53;190;255;395;399;317
01058038;Dätgen;246;7;10;24;51;62;39;53
01058039;Damendorf;209;6;15;37;31;58;37;25
01058040;Damp;1459;173;123;308;413;294;85;63
01058042;Dörphof;386;3;18;88;102;82;50;43
01058043;Eckernförde;11784;215;1307;2609;3077;2340;1148;1088
01058044;Ehndorf;248;3;12;24;41;92;38;38
01058045;Eisendorf;158;-;15;18;32;53;21;19
01058046;Ellerdorf;225;-;12;25;48;52;47;41
01058047;Elsdorf-Westermühlen;723;6;30;66;171;178;97;175
01058048;Embühren;97;-;-;3;25;23;19;27
01058049;Emkendorf;666;7;27;87;129;161;110;145
01058050;Felde;952;17;70;137;186;166;177;199
01058051;Felm;489;-;13;49;97;151;94;85
01058052;Fleckeby;923;3;35;88;211;235;177;174
01058053;Flintbek;3375;16;234;600;805;731;513;476
01058054;Fockbek;2963;46;157;411;558;650;509;632
01058055;Friedrichsgraben;25;-;-;-;3;7;9;6
01058056;Friedrichsholm;176;-;3;21;30;53;21;48
01058057;Gammelby;238;3;18;47;38;66;45;21
01058058;Gettorf;3140;32;223;413;606;806;582;478
01058059;Gnutz;542;-;9;59;80;119;139;136
01058061;Gokels;279;-;9;31;70;72;34;63
01058062;Grauel;120;-;4;15;10;37;25;29
01058063;Grevenkrug;121;6;12;31;30;25;10;7
01058064;Groß Buchwald;159;-;13;29;21;48;18;30
01058065;Groß Vollstedt;465;-;27;85;117;98;64;74
01058066;Groß Wittensee;556;4;18;87;120;102;90;135
01058067;Güby;259;40;9;22;58;47;49;34
01058068;Haale;233;-;7;23;50;50;56;47
01058069;Haby;241;3;13;25;48;63;51;38
01058070;Hamdorf;569;3;23;66;87;137;106;147
01058071;Hamweddel;204;-;6;24;45;53;28;48
01058072;Hanerau-Hademarschen;1417;17;71;163;294;314;271;287
01058073;Haßmoor;128;3;9;31;24;27;9;25
01058074;Heinkenborstel;63;-;-;-;16;19;6;22
01058075;Hörsten;32;-;3;6;17;-;6;-
01058076;Hoffeld;50;-;-;6;6;20;6;12
01058077;Hohenwestedt;2451;13;213;530;563;426;297;409
01058078;Hohn;1078;6;24;155;214;213;169;297
01058080;Holtsee;568;-;13;65;113;143;95;139
01058081;Holzbunge;178;15;-;27;17;42;18;59
01058082;Holzdorf;471;-;36;64;87;117;118;49
01058083;Hütten;94;4;-;6;9;32;19;24
01058084;Hummelfeld;132;-;-;20;29;28;18;37
01058085;Jahrsdorf;112;-;3;3;10;29;23;44
01058086;Jevenstedt;1353;3;55;185;244;320;237;309
01058087;Karby;301;-;16;51;61;67;41;65
01058088;Klein Wittensee;98;-;7;21;26;18;14;12
01058089;Königshügel;81;-;3;10;13;27;9;19
01058090;Kosel;815;20;110;109;173;139;131;133
01058091;Krogaspe;181;-;6;7;32;44;41;51
01058092;Kronshagen;6215;473;517;1076;1360;1371;697;721
01058093;Krummwisch;285;3;16;62;56;67;32;49
01058094;Langwedel;814;6;60;159;147;179;151;112
01058096;Lindau;556;3;11;73;105;132;116;116
01058097;Lohe-Föhrden;225;-;3;30;49;51;34;58
01058098;Loop;89;-;3;15;21;33;11;6
01058099;Loose;353;-;21;50;68;81;84;49
01058100;Lütjenwestedt;247;3;3;26;48;49;37;81
01058101;Luhnstedt;202;-;10;21;37;47;38;49
01058102;Goosefeld;325;-;3;45;62;80;50;85
01058103;Meezen;196;-;11;16;42;37;52;38
01058104;Melsdorf;747;23;60;79;105;175;164;141
01058105;Mielkendorf;560;-;18;47;109;111;157;118
01058106;Mörel;115;-;7;9;9;47;9;34
01058107;Molfsee;2289;29;100;324;384;507;450;495
01058108;Mühbrook;239;12;6;19;34;52;38;78
01058109;Negenharrie;141;-;6;7;39;32;15;42
01058110;Neudorf-Bornstein;461;3;10;55;67;106;88;132
01058111;Neu Duvenstedt;50;-;-;-;6;13;12;19
01058112;Neuwittenbek;494;-;23;40;136;79;95;121
01058113;Nienborstel;249;-;3;13;58;67;48;60
01058115;Nindorf;272;-;-;18;67;46;78;63
01058116;Noer;431;3;21;81;112;84;65;65
01058117;Nortorf;3357;28;244;691;916;620;412;446
01058118;Nübbel;669;3;10;49;144;169;132;162
01058119;Oldenbüttel;118;-;12;12;25;35;18;16
01058120;Oldenhütten;73;-;3;6;14;22;12;16
01058121;Osdorf;990;13;39;104;244;225;159;206
01058122;Ostenfeld (Rendsburg);234;-;15;35;45;38;70;31
01058123;Osterby;402;-;12;64;56;89;95;86
01058124;Osterrönfeld;2262;12;105;262;482;543;503;355
01058125;Osterstedt;284;3;3;27;79;67;25;80
01058126;Ottendorf;344;3;15;18;71;63;110;64
01058127;Owschlag;1606;6;60;195;294;358;296;394
01058128;Padenstedt;599;-;9;50;132;168;115;125
01058129;Prinzenmoor;72;-;4;7;15;22;0;24
01058130;Quarnbek;755;6;39;68;117;175;170;180
01058131;Rade b. Hohenwestedt;33;-;-;6;3;3;-;21
01058132;Rade b. Rendsburg;91;-;3;-;12;25;19;32
01058133;Reesdorf;56;-;3;9;10;6;6;22
01058134;Remmels;196;-;14;18;40;50;31;43
01058135;Rendsburg;15591;488;2288;4540;3861;2278;1141;995
01058136;Rickert;430;-;6;40;55;80;136;113
01058137;Rieseby;1150;27;54;152;206;247;272;192
01058138;Rodenbek;201;-;-;13;25;56;53;54
01058139;Rumohr;345;3;13;25;107;74;60;63
01058140;Schacht-Audorf;2084;12;148;342;478;453;301;350
01058141;Schierensee;190;-;16;32;19;50;36;37
01058142;Schinkel;448;4;12;54;83;115;77;103
01058143;Schmalstede;130;-;9;11;21;24;41;24
01058144;Schönbek;87;-;-;12;22;9;26;18
01058145;Schönhorst;132;-;-;21;21;44;10;36
01058146;Schülldorf;259;-;3;31;56;53;48;68
01058147;Schülp b. Nortorf;342;7;22;22;43;86;70;92
01058148;Schülp b. Rendsburg;487;-;13;65;74;85;102;148
01058150;Schwedeneck;1384;28;85;217;307;296;221;230
01058151;Seefeld;165;-;6;28;34;27;44;26
01058152;Sehestedt;390;3;9;28;90;122;61;77
01058153;Sören;68;-;3;6;21;20;12;6
01058154;Sophienhamm;161;-;6;18;22;52;32;31
01058155;Stafstedt;172;-;-;21;44;33;29;45
01058156;Steenfeld;152;3;-;-;13;41;42;53
01058157;Strande;750;9;71;82;153;159;101;175
01058158;Tackesdorf;40;-;4;8;12;3;4;9
01058159;Tappendorf;147;3;7;11;31;13;32;50
01058160;Techelsdorf;80;-;7;9;18;23;7;16
01058161;Thaden;117;-;-;10;21;29;30;27
01058162;Thumby;273;3;25;57;76;68;25;19
01058163;Timmaspe;445;-;0;27;62;118;110;128
01058164;Todenbüttel;497;-;45;106;88;77;78;103
01058165;Tüttendorf;473;-;17;48;85;116;100;107
01058166;Waabs;802;3;41;133;177;169;154;125
01058167;Wapelfeld;128;-;9;10;32;31;30;16
01058168;Warder;417;3;73;99;94;62;61;25
01058169;Wasbek;965;13;26;65;240;275;146;200
01058170;Wattenbek;1241;13;54;192;278;290;209;205
01058171;Westensee;684;7;19;82;128;147;147;154
01058172;Westerrönfeld;2273;38;135;284;465;518;411;422
01058173;Windeby;479;-;13;53;100;131;85;97
01058174;Winnemark;250;-;4;52;38;59;35;62
01058175;Ahlefeld-Bistensee;204;3;9;24;47;36;36;49
01059001;Alt Bennebek;150;-;4;31;18;30;33;34
01059002;Arnis;189;-;18;27;74;18;17;35
01059005;Bergenhusen;347;-;13;34;57;101;54;88
01059006;Böel;319;4;3;27;63;97;49;76
01059008;Böklund;660;6;42;88;164;142;102;116
01059009;Börm;337;-;15;27;73;67;56;99
01059010;Bollingstedt;663;-;17;69;127;160;135;152
01059011;Boren;496;-;23;99;124;71;71;108
01059012;Borgwedel;460;13;33;109;112;91;51;51
01059014;Brebel;186;-;12;24;42;38;15;55
01059016;Brodersby;449;-;25;146;104;58;71;45
01059018;Busdorf;896;-;17;102;200;234;168;175
01059019;Dannewerk;473;4;17;51;90;107;73;131
01059020;Dörpstedt;285;-;21;44;74;40;50;56
01059021;Dollrottfeld;135;-;6;10;44;33;17;25
01059022;Ekenis;114;3;-;15;24;23;24;25
01059023;Ellingstedt;365;3;12;42;64;95;57;92
01059024;Erfde;886;6;20;81;203;213;148;215
01059026;Fahrdorf;1108;-;61;126;167;281;222;251
01059032;Geltorf;175;6;6;24;37;31;31;40
01059033;Goltoft;93;-;3;3;21;15;17;34
01059034;Grödersby;129;-;13;9;22;36;18;31
01059035;Groß Rheide;373;-;10;37;95;73;75;83
01059037;Havetoft;373;-;13;46;57;71;55;131
01059038;Havetoftloit;398;3;16;32;84;87;87;89
01059039;Hollingstedt;423;-;0;115;81;69;57;101
01059041;Hüsby;339;-;13;33;62;95;48;88
01059042;Idstedt;378;6;0;27;72;112;55;106
01059043;Jagel;430;-;16;72;77;143;69;53
01059044;Jübek;1158;3;57;130;259;296;184;229
01059045;Kappeln;4948;59;447;1135;1176;900;660;571
01059047;Kiesby;92;-;3;9;13;26;16;25
01059049;Klappholz;199;-;3;15;31;64;43;43
01059050;Klein Bennebek;254;-;9;25;39;71;34;76
01059051;Klein Rheide;146;-;-;24;19;30;27;46
01059053;Kropp;2689;47;157;353;567;567;521;477
01059055;Loit;121;-;4;19;20;30;21;27
01059056;Lottorf;97;-;3;6;19;20;27;22
01059057;Lürschau;477;3;10;47;78;98;100;141
01059058;Meggerdorf;311;3;6;27;54;54;58;109
01059060;Mohrkirch;465;3;6;55;82;115;112;92
01059062;Neuberend;483;6;10;25;86;133;118;105
01059063;Norderbrarup;277;-;10;41;49;63;50;64
01059064;Norderstapel;395;4;23;59;68;80;83;78
01059065;Nottfeld;52;-;3;14;10;3;8;14
01059067;Oersberg;125;-;11;10;28;26;9;41
01059068;Rabenkirchen-Faulück;313;-;4;23;81;62;69;74
01059069;Rüde;143;-;-;16;26;41;16;44
01059070;Rügge;126;-;0;32;27;15;25;27
01059071;Satrup;1596;-;58;263;390;323;254;308
01059072;Saustrup;104;-;9;3;12;15;26;39
01059073;Schaalby;729;3;52;76;134;142;138;184
01059074;Scheggerott;197;-;12;40;42;33;49;21
01059075;Schleswig;12753;214;1261;3441;3503;1975;1296;1063
01059076;Schnarup-Thumby;254;-;6;19;74;65;38;52
01059077;Schuby;1109;4;29;163;197;247;223;246
01059078;Selk;367;-;13;26;52;124;50;102
01059079;Silberstedt;977;7;49;121;158;263;149;230
01059080;Steinfeld;335;4;14;39;73;89;56;60
01059081;Stolk;357;-;12;45;58;102;61;79
01059082;Struxdorf;316;-;18;25;69;71;42;91
01059083;Süderbrarup;1970;37;127;336;468;392;265;345
01059084;Süderfahrenstedt;225;-;11;42;31;41;49;51
01059085;Süderstapel;563;6;30;94;124;120;100;89
01059086;Taarstedt;394;3;15;45;72;72;76;111
01059087;Tetenhusen;422;-;3;50;96;103;77;93
01059088;Tielen;138;-;3;9;27;33;17;49
01059090;Tolk;434;3;3;36;111;93;78;110
01059092;Treia;660;7;23;86;101;166;117;160
01059093;Ülsby;176;-;7;18;16;64;23;48
01059094;Ulsnis;416;3;24;47;81;94;77;90
01059095;Wagersrott;102;-;6;21;21;13;23;18
01059096;Wohlde;250;-;-;43;38;51;35;83
01059097;Twedt;211;-;21;23;43;35;30;59
01059098;Nübel;533;-;10;38;97;140;103;145
01059101;Tastrup;168;-;4;12;33;26;28;65
01059102;Ahneby;91;-;9;9;12;12;24;25
01059103;Ausacker;243;-;6;38;28;59;48;64
01059105;Böxlund;36;-;-;6;3;3;10;14
01059106;Dollerup;501;3;27;52;111;113;111;84
01059107;Eggebek;971;-;39;158;173;271;158;172
01059109;Esgrus;388;-;6;52;96;71;76;87
01059112;Gelting;1055;6;58;238;268;170;150;165
01059113;Glücksburg (Ostsee);3680;148;370;920;845;591;339;467
01059115;Großenwiehe;1207;7;42;191;236;252;250;229
01059116;Großsolt;826;-;50;128;151;192;136;169
01059118;Grundhof;405;3;12;36;102;76;60;116
01059120;Harrislee;5332;157;362;1103;1434;1019;582;675
01059121;Hasselberg;437;3;6;78;109;77;76;88
01059123;Hörup;254;-;-;22;34;45;72;81
01059124;Holt;81;-;-;18;6;24;15;18
01059126;Hürup;527;-;21;40;104;126;119;117
01059127;Husby;958;4;58;106;150;191;186;263
01059128;Janneby;176;-;-;10;46;34;40;46
01059129;Jardelund;126;-;9;6;21;26;11;53
01059131;Jerrishoe;398;-;3;32;85;107;80;91
01059132;Jörl;310;-;3;24;64;65;82;72
01059136;Kronsgaard;298;-;16;154;63;23;23;19
01059137;Langballig;731;7;56;108;161;144;106;149
01059138;Langstedt;375;-;6;11;78;100;86;94
01059141;Maasbüll;308;-;3;53;54;64;42;92
01059142;Maasholm;546;12;41;117;141;99;73;63
01059143;Medelby;406;-;31;58;54;99;85;79
01059144;Meyn;295;4;13;27;67;59;35;90
01059145;Munkbrarup;512;3;29;56;78;100;123;123
01059147;Nieby;105;3;3;16;23;41;9;10
01059148;Niesgrau;308;-;13;16;52;105;71;51
01059149;Nordhackstedt;184;-;-;6;43;22;51;62
01059151;Osterby;134;-;-;6;36;32;14;46
01059152;Pommerby;92;-;-;30;20;19;17;6
01059153;Quern;683;21;26;90;132;173;89;152
01059154;Rabel;274;-;12;25;39;79;51;68
01059155;Rabenholz;123;-;3;6;24;25;22;43
01059157;Ringsberg;235;-;16;15;46;59;47;52
01059158;Schafflund;1049;73;65;72;122;223;208;286
01059159;Sieverstedt;692;7;24;69;105;143;132;212
01059161;Sörup;1931;17;53;326;400;451;288;396
01059162;Sollerup;206;3;13;23;22;37;61;47
01059163;Stangheck;124;-;4;14;38;15;22;31
01059164;Steinberg;512;3;34;51;136;98;82;108
01059165;Steinbergkirche;710;3;29;108;157;179;106;128
01059167;Sterup;670;7;41;68;109;165;138;142
01059168;Stoltebüll;376;3;34;61;66;61;59;92
01059169;Süderhackstedt;150;-;6;18;24;40;36;26
01059171;Tarp;2240;18;79;242;560;603;357;381
01059173;Wallsbüll;402;-;6;58;104;128;46;60
01059174;Wanderup;950;19;19;60;180;249;196;227
01059176;Wees;993;-;26;124;180;276;195;192
01059177;Weesby;186;-;10;6;12;34;59;65
01059178;Westerholz;449;15;15;83;74;92;73;97
01059179;Lindewitt;866;-;39;118;142;186;195;186
01059182;Freienwill;657;9;12;96;122;148;117;153
01059183;Handewitt;4566;19;183;446;968;1077;1011;862
01059184;Oeversee;1466;6;76;174;264;324;332;290
01059185;Mittelangeln;-;-;-;-;-;-;-;-
01059186;Steinbergkirche;-;-;-;-;-;-;-;-
01059187;Boren;-;-;-;-;-;-;-;-
01060002;Alveslohe;1150;-;50;183;304;265;183;165
01060003;Armstedt;198;-;3;46;39;37;32;41
01060004;Bad Bramstedt;6225;277;697;1053;1291;1265;821;821
01060005;Bad Segeberg;8670;202;938;1852;2295;1591;941;851
01060006;Bahrenhof;91;-;3;6;32;13;14;23
01060007;Bark;421;9;16;52;104;80;89;71
