GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01058012;Barkelsby;650;371;263;7;9
01058013;Beldorf;123;84;29;7;3
01058014;Bendorf;188;116;57;9;6
01058015;Beringstedt;324;236;78;3;7
01058016;Bissee;70;27;43;-;-
01058018;Blumenthal;305;203;90;-;12
01058019;Böhnhusen;138;72;58;-;8
01058021;Bokel;267;188;79;-;-
01058022;Bordesholm;3479;2140;1260;9;70
01058023;Borgdorf-Seedorf;167;105;62;-;-
01058024;Borgstedt;574;352;195;3;24
01058025;Bornholt;90;54;27;-;9
01058026;Bovenau;437;307;124;-;6
01058027;Brammer;166;130;26;4;6
01058028;Bredenbek;598;458;125;3;12
01058029;Breiholz;586;367;204;3;12
01058030;Brekendorf;514;307;158;34;15
01058031;Brinjahe;63;45;12;3;3
01058032;Brodersby;528;259;107;159;3
01058033;Brügge;427;272;143;-;12
01058034;Büdelsdorf;5057;2651;2292;-;114
01058035;Bünsdorf;371;188;97;77;9
01058036;Christiansholm;102;64;23;-;15
01058037;Dänischenhagen;1596;1168;395;9;24
01058038;Dätgen;246;163;68;3;12
01058039;Damendorf;194;100;88;-;6
01058040;Damp;1443;625;472;260;86
01058042;Dörphof;380;178;143;52;7
01058043;Eckernförde;11396;4275;6749;106;266
01058044;Ehndorf;245;158;83;-;4
01058045;Eisendorf;152;77;65;10;-
01058046;Ellerdorf;216;148;65;3;-
01058047;Elsdorf-Westermühlen;700;419;254;3;24
01058048;Embühren;91;78;13;-;-
01058049;Emkendorf;623;413;192;-;18
01058050;Felde;934;589;271;53;21
01058051;Felm;477;303;171;-;3
01058052;Fleckeby;896;640;231;-;25
01058053;Flintbek;3298;2075;1151;3;69
01058054;Fockbek;2890;1832;976;11;71
01058055;Friedrichsgraben;22;16;6;-;-
01058056;Friedrichsholm;167;99;65;3;-
01058057;Gammelby;229;164;59;6;-
01058058;Gettorf;2988;1834;1099;6;49
01058059;Gnutz;496;345;133;-;18
01058061;Gokels;264;166;68;21;9
01058062;Grauel;105;69;26;4;6
01058063;Grevenkrug;118;51;49;3;15
01058064;Groß Buchwald;150;85;59;-;6
01058065;Groß Vollstedt;450;284;147;6;13
01058066;Groß Wittensee;529;321;169;32;7
01058067;Güby;249;131;103;9;6
01058068;Haale;217;138;69;-;10
01058069;Haby;229;136;93;-;0
01058070;Hamdorf;541;391;134;-;16
01058071;Hamweddel;183;116;57;3;7
01058072;Hanerau-Hademarschen;1327;800;463;16;48
01058073;Haßmoor;116;72;41;3;-
01058074;Heinkenborstel;60;41;16;-;3
01058075;Hörsten;29;26;-;-;3
01058076;Hoffeld;50;41;9;-;-
01058077;Hohenwestedt;2316;1253;973;48;42
01058078;Hohn;1032;625;379;3;25
01058080;Holtsee;541;362;173;3;3
01058081;Holzbunge;175;97;69;-;9
01058082;Holzdorf;434;232;155;18;29
01058083;Hütten;82;48;28;-;6
01058084;Hummelfeld;129;81;45;-;3
01058085;Jahrsdorf;112;89;17;3;3
01058086;Jevenstedt;1284;786;475;6;17
01058087;Karby;274;173;86;9;6
01058088;Klein Wittensee;91;27;51;-;13
01058089;Königshügel;75;43;32;-;-
01058090;Kosel;792;430;182;161;19
01058091;Krogaspe;172;118;48;-;6
01058092;Kronshagen;6099;2886;3111;3;99
01058093;Krummwisch;270;186;78;3;3
01058094;Langwedel;807;492;200;78;37
01058096;Lindau;520;356;150;-;14
01058097;Lohe-Föhrden;222;120;96;-;6
01058098;Loop;83;46;34;-;3
01058099;Loose;336;225;99;-;12
01058100;Lütjenwestedt;220;154;54;6;6
01058101;Luhnstedt;196;116;74;3;3
01058102;Goosefeld;322;200;119;3;-
01058103;Meezen;190;132;39;10;9
01058104;Melsdorf;704;488;197;3;16
01058105;Mielkendorf;560;428;126;3;3
01058106;Mörel;112;71;28;4;9
01058107;Molfsee;2261;1456;752;3;50
01058108;Mühbrook;233;159;64;-;10
01058109;Negenharrie;131;84;44;-;3
01058110;Neudorf-Bornstein;452;332;117;-;3
01058111;Neu Duvenstedt;44;32;6;-;6
01058112;Neuwittenbek;487;303;175;3;6
01058113;Nienborstel;234;182;46;-;6
01058115;Nindorf;257;186;65;-;6
01058116;Noer;414;255;125;31;3
01058117;Nortorf;3167;1650;1427;6;84
01058118;Nübbel;666;457;187;6;16
01058119;Oldenbüttel;115;81;28;-;6
01058120;Oldenhütten;67;52;15;-;-
01058121;Osdorf;956;629;298;-;29
01058122;Ostenfeld (Rendsburg);225;148;58;-;19
01058123;Osterby;396;284;103;-;9
01058124;Osterrönfeld;2172;1334;793;3;42
01058125;Osterstedt;268;173;86;-;9
01058126;Ottendorf;327;223;101;-;3
01058127;Owschlag;1544;990;509;6;36
01058128;Padenstedt;587;396;159;12;20
01058129;Prinzenmoor;72;54;18;-;-
01058130;Quarnbek;746;559;168;7;12
01058131;Rade b. Hohenwestedt;30;18;9;-;3
01058132;Rade b. Rendsburg;88;66;22;-;-
01058133;Reesdorf;53;32;21;-;-
01058134;Remmels;186;115;62;3;6
01058135;Rendsburg;15054;4730;9510;22;792
01058136;Rickert;423;305;103;-;15
01058137;Rieseby;1125;674;393;21;37
01058138;Rodenbek;201;155;43;-;3
01058139;Rumohr;327;235;92;-;-
01058140;Schacht-Audorf;2024;1256;714;9;45
01058141;Schierensee;190;111;66;6;7
01058142;Schinkel;433;303;117;-;13
01058143;Schmalstede;118;78;37;-;3
01058144;Schönbek;78;56;19;-;3
01058145;Schönhorst;120;87;30;3;-
01058146;Schülldorf;247;182;53;6;6
01058147;Schülp b. Nortorf;310;229;71;-;10
01058148;Schülp b. Rendsburg;483;340;127;3;13
01058150;Schwedeneck;1347;818;399;97;33
01058151;Seefeld;159;101;55;-;3
01058152;Sehestedt;369;242;108;10;9
01058153;Sören;64;52;12;-;-
01058154;Sophienhamm;155;111;38;3;3
01058155;Stafstedt;150;97;39;-;14
01058156;Steenfeld;152;127;19;-;6
01058157;Strande;740;515;200;16;9
01058158;Tackesdorf;36;23;10;3;-
01058159;Tappendorf;137;95;29;-;13
01058160;Techelsdorf;80;49;28;-;3
01058161;Thaden;105;80;25;-;-
01058162;Thumby;269;123;116;26;4
01058163;Timmaspe;426;286;133;-;7
01058164;Todenbüttel;463;329;115;-;19
01058165;Tüttendorf;461;304;148;-;9
01058166;Waabs;737;379;238;105;15
01058167;Wapelfeld;121;63;48;4;6
01058168;Warder;408;227;57;115;9
01058169;Wasbek;940;666;246;3;25
01058170;Wattenbek;1226;810;383;3;30
01058171;Westensee;675;471;185;3;16
01058172;Westerrönfeld;2252;1302;875;6;69
01058173;Windeby;462;323;114;13;12
01058174;Winnemark;243;151;69;19;4
01058175;Ahlefeld-Bistensee;195;135;54;-;6
01059001;Alt Bennebek;144;91;41;-;12
01059002;Arnis;186;81;65;30;10
01059005;Bergenhusen;326;233;63;15;15
01059006;Böel;319;199;93;15;12
01059008;Böklund;626;346;261;-;19
01059009;Börm;325;207;105;-;13
01059010;Bollingstedt;648;434;185;14;12
01059011;Boren;471;263;90;101;17
01059012;Borgwedel;454;249;90;103;12
01059014;Brebel;180;108;63;6;3
01059016;Brodersby;446;178;97;171;0
01059018;Busdorf;890;595;278;-;17
01059019;Dannewerk;453;307;134;4;8
01059020;Dörpstedt;272;143;97;25;7
01059021;Dollrottfeld;135;82;37;3;13
01059022;Ekenis;114;76;23;12;3
01059023;Ellingstedt;355;250;87;3;15
01059024;Erfde;847;591;222;9;25
01059026;Fahrdorf;1090;753;311;6;20
01059032;Geltorf;166;106;57;-;3
01059033;Goltoft;93;71;15;-;7
01059034;Grödersby;126;72;41;13;-
01059035;Groß Rheide;358;238;105;-;15
01059037;Havetoft;354;229;119;-;6
01059038;Havetoftloit;389;274;99;6;10
01059039;Hollingstedt;407;297;95;6;9
01059041;Hüsby;321;197;105;6;13
01059042;Idstedt;371;259;106;6;-
01059043;Jagel;418;201;205;3;9
01059044;Jübek;1114;697;387;3;27
01059045;Kappeln;4664;2146;2182;193;143
01059047;Kiesby;89;62;16;11;-
01059049;Klappholz;190;136;48;3;3
01059050;Klein Bennebek;236;171;50;3;12
01059051;Klein Rheide;146;104;33;3;6
01059053;Kropp;2566;1374;1154;-;38
01059055;Loit;121;74;36;3;8
01059056;Lottorf;94;72;13;-;9
01059057;Lürschau;463;326;130;-;7
01059058;Meggerdorf;289;183;97;-;9
01059060;Mohrkirch;443;306;107;15;15
01059062;Neuberend;477;364;94;-;19
01059063;Norderbrarup;274;188;74;-;12
01059064;Norderstapel;370;234;120;-;16
01059065;Nottfeld;52;29;23;-;-
01059067;Oersberg;125;87;35;3;-
01059068;Rabenkirchen-Faulück;306;197;78;25;6
01059069;Rüde;140;106;28;3;3
01059070;Rügge;126;58;56;6;6
01059071;Satrup;1553;948;542;15;48
01059072;Saustrup;104;68;30;-;6
01059073;Schaalby;713;437;269;0;7
01059074;Scheggerott;197;109;63;19;6
01059075;Schleswig;12077;4516;7185;31;345
01059076;Schnarup-Thumby;244;161;57;15;11
01059077;Schuby;1078;742;310;7;19
01059078;Selk;364;247;100;10;7
01059079;Silberstedt;936;588;304;29;15
01059080;Steinfeld;329;210;97;10;12
01059081;Stolk;350;244;97;3;6
01059082;Struxdorf;310;225;73;3;9
01059083;Süderbrarup;1861;940;856;10;55
01059084;Süderfahrenstedt;218;151;64;3;-
01059085;Süderstapel;546;290;198;25;33
01059086;Taarstedt;385;243;107;19;16
01059087;Tetenhusen;404;247;145;-;12
01059088;Tielen;129;91;29;3;6
01059090;Tolk;434;286;138;7;3
01059092;Treia;632;400;212;4;16
01059093;Ülsby;173;115;47;7;4
01059094;Ulsnis;397;230;89;78;0
01059095;Wagersrott;98;68;21;9;-
01059096;Wohlde;243;158;78;7;-
01059097;Twedt;208;135;70;-;3
01059098;Nübel;520;363;145;-;12
01059101;Tastrup;165;118;47;-;-
01059102;Ahneby;91;69;19;3;-
01059103;Ausacker;228;173;43;3;9
01059105;Böxlund;36;27;9;-;-
01059106;Dollerup;473;312;143;7;11
01059107;Eggebek;944;554;357;-;33
01059109;Esgrus;382;244;97;23;18
01059112;Gelting;1010;543;386;61;20
01059113;Glücksburg (Ostsee);3585;1707;1628;148;102
01059115;Großenwiehe;1160;761;374;10;15
01059116;Großsolt;796;503;272;3;18
01059118;Grundhof;402;261;113;19;9
01059120;Harrislee;5219;2523;2622;10;64
01059121;Hasselberg;424;230;137;32;25
01059123;Hörup;245;183;50;3;9
01059124;Holt;72;45;18;3;6
01059126;Hürup;518;354;154;-;10
01059127;Husby;922;639;259;3;21
01059128;Janneby;172;97;63;6;6
01059129;Jardelund;114;74;34;-;6
01059131;Jerrishoe;386;261;115;-;10
01059132;Jörl;294;191;97;-;6
01059136;Kronsgaard;295;93;157;42;3
01059137;Langballig;728;430;253;39;6
01059138;Langstedt;372;281;81;3;7
01059141;Maasbüll;305;237;68;-;-
01059142;Maasholm;524;242;90;172;20
01059143;Medelby;384;250;119;-;15
01059144;Meyn;280;183;88;-;9
01059145;Munkbrarup;503;346;142;3;12
01059147;Nieby;102;64;16;22;-
01059148;Niesgrau;292;165;93;24;10
01059149;Nordhackstedt;181;135;39;-;7
01059151;Osterby;134;86;42;-;6
01059152;Pommerby;86;36;34;10;6
01059153;Quern;660;403;193;46;18
01059154;Rabel;265;171;82;9;3
01059155;Rabenholz;123;77;31;9;6
01059157;Ringsberg;220;149;67;-;4
01059158;Schafflund;1022;677;326;3;16
01059159;Sieverstedt;673;475;183;-;15
01059161;Sörup;1874;1134;701;10;29
01059162;Sollerup;189;142;47;-;-
01059163;Stangheck;121;73;29;12;7
01059164;Steinberg;496;256;149;75;16
01059165;Steinbergkirche;692;410;239;24;19
01059167;Sterup;649;398;199;30;22
01059168;Stoltebüll;363;227;96;34;6
01059169;Süderhackstedt;146;82;64;-;-
01059171;Tarp;2169;1362;777;3;27
01059173;Wallsbüll;399;221;169;6;3
01059174;Wanderup;916;656;244;-;16
01059176;Wees;968;614;332;3;19
01059177;Weesby;180;142;32;-;6
01059178;Westerholz;443;251;130;47;15
01059179;Lindewitt;803;560;230;4;9
01059182;Freienwill;651;488;150;3;10
01059183;Handewitt;4465;2865;1533;3;64
01059184;Oeversee;1416;970;408;3;35
01059185;Mittelangeln;-;-;-;-;-
01059186;Steinbergkirche;-;-;-;-;-
01059187;Boren;-;-;-;-;-
01060002;Alveslohe;1104;703;373;3;25
01060003;Armstedt;152;113;36;-;3
01060004;Bad Bramstedt;5913;2832;2945;3;133
01060005;Bad Segeberg;8206;3407;4492;16;291
01060006;Bahrenhof;85;56;23;3;3
01060007;Bark;399;253;136;3;7
01060008;Bebensee;284;190;79;3;12
01060009;Bimöhlen;331;179;143;3;6
01060010;Blunk;236;161;69;3;3
01060011;Boostedt;1915;1046;801;3;65
01060012;Bornhöved;1510;840;615;12;43
01060013;Borstel;51;47;-;-;4
01060014;Buchholz b. Wahlstedt;-;-;-;-;-
01060015;Bühnsdorf;158;97;49;3;9
01060016;Daldorf;247;148;89;-;10
01060017;Damsdorf;117;70;44;-;3
01060018;Dreggers;17;14;3;-;-
01060019;Ellerau;2566;1527;1003;-;36
01060020;Fahrenkrug;673;388;279;3;3
01060021;Föhrden-Barl;106;63;40;-;3
01060022;Fredesdorf;151;103;45;-;3
01060023;Fuhlendorf;162;100;62;-;-
01060024;Geschendorf;225;131;83;3;8
01060025;Glasau;390;213;155;3;19
01060026;Gönnebek;213;138;62;-;13
01060027;Großenaspe;1109;713;368;3;25
01060028;Groß Kummerfeld;767;552;195;-;20
01060029;Groß Niendorf;267;187;71;-;9
01060030;Groß Rönnau;235;185;47;-;3
01060031;Hagen;200;140;56;-;4
01060033;Hardebek;201;125;70;-;6
01060034;Hartenholm;736;531;199;-;6
01060035;Hasenkrug;135;101;34;-;-
01060036;Hasenmoor;272;182;80;-;10
01060037;Heidmoor;122;76;43;-;3
01060038;Heidmühlen;271;193;78;-;-
01060039;Henstedt-Ulzburg;11714;7254;4284;-;173
01060040;Hitzhusen;519;338;172;3;6
01060041;Högersdorf;152;96;50;-;6
01060042;Hüttblek;157;112;41;-;4
01060043;Itzstedt;941;650;278;-;13
01060044;Kaltenkirchen;8721;3665;4871;3;182
01060045;Kattendorf;343;234;100;-;9
01060046;Kayhude;459;349;95;-;15
01060047;Kisdorf;1508;1030;451;6;21
01060048;Klein Gladebrügge;226;167;56;-;3
01060049;Klein Rönnau;677;442;215;-;20
01060050;Krems II;187;112;72;3;-
01060051;Kükels;178;128;40;7;3
01060052;Latendorf;245;149;83;3;10
01060053;Leezen;759;436;306;4;13
01060054;Lentföhrden;941;521;393;3;24
01060056;Mönkloh;101;85;10;3;3
01060057;Mözen;191;111;80;-;-
01060058;Nahe;994;669;312;-;13
01060059;Negernbötel;436;305;111;-;20
01060060;Nehms;259;162;63;28;6
01060061;Neuengörs;300;241;53;-;6
01060062;Neversdorf;319;209;104;3;3
01060063;Norderstedt;36813;15824;20399;27;560
01060064;Nützen;450;218;222;-;10
01060065;Oering;541;366;165;-;10
01060066;Oersdorf;371;242;126;-;3
01060067;Pronstorf;629;387;222;-;20
01060068;Rickling;1080;517;538;-;25
01060069;Rohlstorf;461;291;151;9;10
01060070;Schackendorf;305;224;81;-;-
01060071;Schieren;126;88;29;-;9
01060072;Schmalensee;223;143;56;12;12
01060073;Schmalfeld;746;534;190;6;16
01060074;Schwissel;112;68;40;-;4
01060075;Seedorf;958;610;286;36;26
01060076;Seth;808;552;234;-;22
01060077;Sievershütten;472;335;122;3;12
01060079;Stipsdorf;89;52;37;-;-
01060080;Stocksee;214;116;72;20;6
01060081;Strukdorf;113;86;24;-;3
01060082;Struvenhütten;450;271;159;-;20
01060084;Stuvenborn;340;249;88;-;3
01060085;Sülfeld;1436;874;522;3;37
01060086;Tarbek;49;20;26;-;3
01060087;Tensfeld;287;196;85;-;6
01060088;Todesfelde;428;227;194;-;7
01060089;Trappenkamp;2306;948;1270;-;88
01060090;Travenhorst;86;63;23;-;-
01060091;Traventhal;201;128;61;-;12
01060092;Wahlstedt;4166;2129;1811;6;220
01060093;Wakendorf I;177;89;88;-;-
01060094;Wakendorf II;569;325;223;6;15
01060095;Weddelbrook;420;261;150;-;9
01060096;Weede;376;269;98;-;9
01060097;Wensin;366;221;139;-;6
01060098;Westerrade;203;125;72;-;6
01060099;Wiemersdorf;604;432;156;3;13
01060100;Winsen;170;129;41;-;-
01060101;Wittenborn;380;264;107;-;9
01061001;Aasbüttel;37;22;11;4;-
01061002;Aebtissinwisch;22;22;-;-;-
01061003;Agethorst;70;43;21;-;6
01061004;Altenmoor;81;67;14;-;-
01061005;Auufer;50;37;10;-;3
01061006;Bahrenfleth;237;194;33;4;6
01061007;Beidenfleth;382;272;95;-;15
01061008;Bekdorf;44;34;10;-;-
01061010;Bekmünde;77;59;15;-;3
01061011;Besdorf;97;78;13;-;6
01061012;Blomesche Wildnis;262;177;79;-;6
01061013;Bokelrehm;65;55;10;-;-
01061014;Bokhorst;63;43;14;3;3
01061015;Borsfleth;325;268;41;-;16
01061016;Breitenberg;126;98;28;-;-
01061017;Breitenburg;483;261;194;7;21
01061018;Brokdorf;460;288;153;10;9
01061019;Brokstedt;881;590;255;-;36
01061020;Büttel;9;6;3;-;-
01061021;Christinenthal;33;18;15;-;-
01061022;Dägeling;408;293;101;-;14
01061023;Dammfleth;119;85;34;-;-
01061024;Drage;108;83;19;-;6
01061025;Ecklak;142;119;10;10;3
01061026;Elskop;57;42;12;-;3
01061027;Engelbrechtsche Wildnis;283;236;44;3;-
01061028;Fitzbek;173;131;39;3;-
01061029;Glückstadt;5584;2262;2963;19;340
01061030;Grevenkop;126;87;36;-;3
01061031;Gribbohm;182;132;47;-;3
01061033;Hadenfeld;52;42;10;-;-
01061034;Heiligenstedten;745;447;269;3;26
01061035;Heiligenstedtenerkamp;322;215;95;3;9
01061036;Hennstedt;283;185;71;10;17
01061037;Herzhorn;454;341;101;-;12
01061038;Hingstheide;39;21;18;-;-
01061039;Hodorf;94;65;26;-;3
01061040;Hohenaspe;863;580;246;3;34
01061041;Hohenfelde;395;276;105;4;10
01061042;Hohenlockstedt;2778;1447;1230;3;98
01061043;Holstenniendorf;179;116;36;18;9
01061044;Horst (Holstein);2156;1436;658;-;62
01061045;Huje;100;74;22;-;4
01061046;Itzehoe;16532;6109;9550;30;843
01061047;Kaaks;155;118;30;-;7
01061048;Kaisborstel;26;14;12;-;-
01061049;Kellinghusen;3736;1915;1665;3;153
01061050;Kiebitzreihe;918;711;192;6;9
01061052;Kleve, b. Itzehoe;249;196;43;-;10
01061053;Kollmoor;7;7;-;-;-
01061054;Krempdorf;106;79;17;-;10
01061055;Krempe;1062;642;381;-;39
01061056;Kremperheide;1059;777;256;4;22
01061057;Krempermoor;214;179;32;-;3
01061058;Kronsmoor;73;40;30;-;3
01061059;Krummendiek;18;3;12;-;3
01061060;Kudensee;81;72;9;-;-
01061061;Lägerdorf;1331;528;702;-;101
01061062;Landrecht;47;26;12;6;3
01061063;Landscheide;96;68;16;-;12
01061064;Lockstedt;61;39;19;-;3
01061065;Lohbarbek;289;181;98;-;10
01061066;Looft;167;124;34;3;6
01061067;Mehlbek;196;154;42;-;-
01061068;Moordiek;50;35;15;-;-
01061070;Moorhusen;34;16;18;-;-
01061071;Mühlenbarbek;134;88;43;-;3
01061072;Münsterdorf;881;600;252;-;29
01061073;Neuenbrook;303;139;153;-;11
01061074;Neuendorf b. Elmshorn;373;276;84;3;10
01061076;Nienbüttel;64;51;13;-;-
01061077;Nortorf;334;268;63;-;3
01061078;Nutteln;112;83;26;-;3
01061079;Oelixdorf;729;451;255;8;15
01061080;Oeschebüttel;75;63;9;-;3
01061081;Oldenborstel;49;28;15;-;6
01061082;Oldendorf;480;363;103;-;14
01061083;Ottenbüttel;301;217;80;-;4
01061084;Peissen;117;70;47;-;-
01061085;Pöschendorf;89;74;15;-;-
01061086;Poyenberg;169;121;36;3;9
01061087;Puls;230;156;64;3;7
01061088;Quarnstedt;170;116;50;-;4
01061089;Rade;43;33;10;-;-
01061091;Reher;326;211;100;-;15
01061092;Rethwisch;239;181;55;-;3
01061093;Rosdorf;177;114;56;-;7
01061095;Sankt Margarethen;440;224;176;-;40
01061096;Sarlhusen;172;116;46;3;7
01061097;Schenefeld;1012;650;338;3;21
01061098;Schlotfeld;96;72;21;-;3
01061099;Siezbüttel;8;8;-;-;-
01061100;Silzen;59;39;16;4;-
01061101;Sommerland;327;250;65;6;6
01061102;Stördorf;40;37;3;-;-
01061103;Störkathen;40;16;18;-;6
01061104;Süderau;314;218;75;-;21
01061105;Vaale;518;390;122;3;3
01061106;Vaalermoor;45;41;-;-;4
01061107;Wacken;790;524;240;-;26
01061108;Warringholz;136;96;31;9;-
01061109;Westermoor;157;116;35;-;6
01061110;Wewelsfleth;651;456;157;21;17
01061111;Wiedenborstel;3;3;-;-;-
01061112;Willenscharen;67;35;29;-;3
01061113;Wilster;2143;965;1063;15;100
01061114;Winseldorf;146;104;42;-;-
01061115;Wittenbergen;79;51;28;-;-
01061116;Wrist;1077;662;393;-;22
01061117;Wulfsmoor;147;102;45;-;-
01061118;Kollmar;759;510;197;17;35
01061119;Neuendorf-Sachsenbande;181;149;32;-;-
01062001;Ahrensburg;14839;7349;7185;28;274
01062003;Badendorf;347;230;111;-;6
01062004;Bad Oldesloe;11103;5104;5663;9;327
01062005;Bargfeld-Stegen;1097;718;369;-;10
01062006;Bargteheide;6556;3833;2628;7;88
01062008;Barnitz;343;222;112;-;9
01062009;Barsbüttel;5362;3286;2002;3;71
01062011;Braak;324;261;60;-;3
01062014;Delingsdorf;820;612;202;-;6
01062016;Elmenhorst;1007;680;293;3;31
01062018;Glinde;7871;4134;3641;-;96
01062019;Grabau;339;207;110;3;19
01062020;Grande;279;181;91;-;7
01062021;Grönwohld;597;351;219;3;24
01062022;Großensee;769;499;258;6;6
01062023;Großhansdorf;4413;2489;1798;6;120
01062025;Hamberge;610;401;203;-;6
01062026;Hamfelde;183;132;42;-;9
01062027;Hammoor;470;290;164;-;16
01062031;Heidekamp;202;111;75;-;16
01062032;Heilshoop;237;141;90;-;6
01062033;Hohenfelde;49;20;26;-;3
01062035;Hoisdorf;1459;1031;385;12;31
01062036;Jersbek;713;512;189;-;12
01062039;Klein Wesenberg;294;200;91;-;3
01062040;Köthel;148;93;55;-;-
01062045;Lütjensee;1332;757;521;9;45
01062046;Meddewade;329;248;78;-;3
01062048;Mönkhagen;268;179;74;-;15
01062050;Neritz;153;88;65;-;-
01062051;Nienwohld;184;124;56;-;4
01062053;Oststeinbek;3920;2562;1298;3;57
01062056;Pölitz;457;308;146;-;3
01062058;Rausdorf;114;59;46;3;6
01062059;Rehhorst;272;168;98;-;6
01062060;Reinbek;12302;6989;5101;14;198
01062061;Reinfeld (Holstein);4040;2272;1621;6;135
01062062;Rethwisch;445;280;165;-;0
01062065;Rümpel;474;311;152;-;11
01062069;Siek;958;613;326;3;16
01062071;Stapelfeld;718;475;234;3;6
01062076;Tangstedt;2812;1857;884;3;68
01062078;Todendorf;495;300;176;-;19
01062081;Tremsbüttel;733;538;191;-;4
01062082;Trittau;3547;1946;1499;13;89
01062083;Westerau;326;160;124;-;42
01062086;Witzhave;566;393;146;9;18
01062087;Zarpen;625;408;193;6;18
01062088;Brunsbek;667;456;208;-;3
01062089;Lasbek;516;299;189;6;22
01062090;Ammersbek;4458;2683;1721;-;54
01062091;Steinburg;1110;709;371;3;27
01062092;Travenbrück;688;453;207;6;22
01062093;Feldhorst;247;139;104;-;4
01062094;Wesenberg;519;346;170;-;3
02000000;Hamburg;885940;208186;663577;666;13462
03101000;Braunschweig, krsfr. Stadt;132047;41230;86636;89;4089
03102000;Salzgitter, krsfr. Stadt;53790;23876;24437;83;5388
03103000;Wolfsburg, krsfr. Stadt;62216;24884;34895;44;2393
03151009;Gifhorn;18375;9601;8187;61;522
03151025;Sassenburg;4213;2992;1088;24;109
03151040;Wittingen;5126;3281;1517;66;262
03151401;Boldecker Land, Samtgemeinde;4259;3184;948;25;102
03151401002;Barwedel;463;341;104;0;18
03151401004;Bokensdorf;428;351;58;13;6
03151401014;Jembke;798;605;178;3;12
03151401020;Osloß;847;618;196;9;24
03151401030;Tappenbeck;563;441;98;-;24
03151401039;Weyhausen;1160;828;314;-;18
03151402;Brome, Samtgemeinde;6448;4701;1500;21;226
03151402003;Bergfeld;363;286;52;-;25
03151402005;Brome;1360;960;342;9;49
03151402008;Ehra-Lessien;681;482;175;3;21
03151402021;Parsau;816;575;205;-;36
03151402024;Rühen;2068;1527;480;3;58
03151402031;Tiddische;555;417;125;-;13
03151402032;Tülau;605;454;121;6;24
03151403;Hankensbüttel, Samtgemeinde;4243;2627;1257;157;202
03151403007;Dedelstorf;629;416;118;74;21
03151403011;Hankensbüttel;2001;1110;772;18;101
03151403019;Obernholz;362;253;88;3;18
03151403028;Sprakensehl;619;416;115;53;35
03151403029;Steinhorst, Niedersachs;632;432;164;9;27
03151404;Isenbüttel, Samtgemeinde;6425;4402;1818;66;139
03151404006;Calberlah;2105;1496;556;-;53
03151404013;Isenbüttel;2713;1726;871;60;56
03151404022;Ribbesbüttel;830;612;186;6;26
03151404037;Wasbüttel;777;568;205;-;4
03151405;Meinersen, Samtgemeinde;8518;5847;2343;84;241
03151405012;Hillerse;1034;717;265;3;49
03151405015;Leiferde;1878;1313;497;23;45
03151405017;Meinersen;3358;2267;966;22;100
03151405018;Müden (Aller);2248;1550;615;36;47
03151406;Papenteich, Samtgemeinde;9918;6973;2702;23;220
03151406001;Adenbüttel;711;552;150;-;9
03151406016;Meine;3453;2385;984;16;68
03151406023;Rötgesbüttel;894;572;304;-;18
03151406027;Schwülper;2948;2083;780;3;82
03151406034;Vordorf;1350;976;339;4;31
03151406041;Didderse;562;405;145;-;12
03151407;Wesendorf, Samtgemeinde;5898;3969;1738;67;124
03151407010;Groß Oesingen;742;509;202;16;15
03151407026;Schönewörde;376;259;91;3;23
03151407033;Ummern;627;456;153;6;12
03151407035;Wagenhoff;459;329;110;-;20
03151407036;Wahrenholz;1414;998;395;6;15
03151407038;Wesendorf, Niedersachs;2280;1418;787;36;39
03151501;Giebel, gem.fr. Geb.;-;-;-;-;-
03152001;Adelebsen;3103;1788;1126;12;177
03152004;Bovenden;6382;3680;2482;36;184
03152007;Duderstadt;9379;5505;3389;27;458
03152009;Friedland, Kr Göttingen;3062;1929;994;6;133
03152011;Gleichen;3981;2599;1196;46;140
03152012;Göttingen;66533;16917;47482;122;2008
03152016;Hann. Münden;11708;5734;5345;55;574
03152021;Rosdorf, Kr Göttingen;5425;2567;2649;29;180
03152026;Staufenberg, Niedersachs;3856;2450;1199;28;179
03152401;Dransfeld, Samtgemeinde;4254;2645;1400;12;197
03152401005;Bühren;230;174;50;3;3
03152401006;Dransfeld;2041;1136;794;9;102
03152401013;Jühnde;440;284;137;-;19
03152401017;Niemetal;653;453;176;-;24
03152401023;Scheden;890;598;243;-;49
03152402;Gieboldehausen, Samtgemeinde;5917;4071;1543;16;287
03152402002;Bilshausen;982;677;270;3;32
